"tag_id","name","category","count","ja_name","work_hint","confidence","note"
"1631198","sensei_(blue_archive)","4","10925","先生","ブルーアーカイブ","high","プレイヤー/主人公通称タグ"
"1275715","fubuki_(kancolle)","4","10839","吹雪","艦隊これくしょん -艦これ-","high",""
"1275719","ikazuchi_(kancolle)","4","10828","雷","艦隊これくしょん -艦これ-","high",""
"1471064","abigail_williams_(fate)","4","10742","アビゲイル・ウィリアムズ","Fate","high",""
"3861","pikachu","4","10538","ピカチュウ","ポケットモンスター","high",""
"1635696","hu_tao_(genshin_impact)","4","10238","胡桃","原神","high",""
"1275711","akatsuki_(kancolle)","4","10176","暁","艦隊これくしょん -艦これ-","high",""
"1631523","zuikaku_(kancolle)","4","10116","瑞鶴","艦隊これくしょん -艦これ-","high",""
"456150","akiyama_mio","4","10077","秋山澪","けいおん!","high",""
"638495","toyosatomimi_no_miko","4","9782","豊聡耳神子","東方Project","high",""
"1630699","hamakaze_(kancolle)","4","9722","浜風","艦隊これくしょん -艦これ-","high",""
"9466","suzumiya_haruhi","4","9541","涼宮ハルヒ","涼宮ハルヒシリーズ","high",""
"1335350","haruna_(kancolle)","4","9541","榛名","艦隊これくしょん -艦これ-","high",""
"1433170","nero_claudius_(fate)","4","9485","ネロ・クラウディウス","Fate","high",""
"1631219","nagato_(kancolle)","4","9482","長門","艦隊これくしょん -艦これ-","high",""
"13814","morichika_rinnosuke","4","9414","森近霖之助","東方Project","high",""
"94496","princess_zelda","4","9354","ゼルダ姫","ゼルダの伝説","high",""
"384197","kagiyama_hina","4","9328","鍵山雛","東方Project","high",""
"2075918","inkling_player_character","4","9292","インクリング","スプラトゥーン","medium","プレイヤーキャラクター表記として要確認"
"391888","tifa_lockhart","4","9278","ティファ・ロックハート","FINAL FANTASY VII","high",""
"465977","hoshiguma_yuugi","4","9218","星熊勇儀","東方Project","high",""
"7441","fate_testarossa","4","9158","フェイト・テスタロッサ","魔法少女リリカルなのは","high",""
"1351818","kashima_(kancolle)","4","9133","鹿島","艦隊これくしょん -艦これ-","high",""
"700405","nishizumi_miho","4","8940","西住みほ","ガールズ&パンツァー","high",""
